dark_ratio,image_name,lowfreq_luminance_range,mean_chroma_b,mean_chroma_g,mean_chroma_r,mean_log_luminance,saturation_ratio,scene
0.007202953296703297,00168.jpg,0.5792156815528872,0.32768410444259644,0.3415963351726532,0.330719530582428,-0.867305338382721,0.0,self_double-action_press
0.008902815934065934,00170.jpg,0.4941176623106003,0.33543071150779724,0.3412665128707886,0.3232598602771759,-0.9300552010536194,0.0012190934065934066,self_double-action_press
0.009632554945054946,00171.jpg,0.5635294228792193,0.3366645276546478,0.3394893705844879,0.3238289952278137,-0.9006876945495605,0.0019917582417582416,self_double-action_press
0.0026442307692307694,00172.jpg,0.5517647027969362,0.3355480134487152,0.33739107847213745,0.32706090807914734,-0.6889044046401978,0.0007383241758241758,self_double-action_press
0.0034684065934065932,00173.jpg,0.5490196049213409,0.33487582206726074,0.3375958204269409,0.3275283873081207,-0.7337657809257507,0.0017857142857142857,self_double-action_press
0.008928571428571428,00174.jpg,0.5254902094602585,0.3330298066139221,0.3408024311065674,0.32566988468170166,-0.8719214797019958,0.0018973214285714286,self_double-action_press
0.007451923076923077,00175.jpg,0.560784325003624,0.337895929813385,0.33846697211265564,0.32363706827163696,-0.801716148853302,0.0027214972527472526,self_double-action_press
0.005709134615384615,00176.jpg,0.551764702796936,0.3350670039653778,0.3379610478878021,0.32697194814682007,-0.7164744734764099,0.00042067307692307695,self_double-action_press
0.006962568681318682,00178.jpg,0.5333333313465118,0.3367135524749756,0.338521808385849,0.3247646689414978,-0.74992835521698,0.00037774725274725276,self_double-action_press
0.004575892857142857,00179.jpg,0.578039211034775,0.34035754203796387,0.3380308747291565,0.321611613035202,-0.6741955280303955,0.00030906593406593405,self_double-action_press
0.004069368131868132,00180.jpg,0.5490196049213409,0.3362014591693878,0.33725208044052124,0.32654643058776855,-0.6632198095321655,0.000729739010989011,self_double-action_press
0.001875882768361582,182z.jpg,0.2850980520248413,0.3211617171764374,0.33129847049713135,0.3475398123264313,-0.4580315053462982,0.0,web_Baalshamin_images
0.0013169642857142857,194d.jpg,0.37803922295570364,0.31321489810943604,0.3298179805278778,0.35696712136268616,-0.44168558716773987,0.00125,web_Baalshamin_images
8.138020833333333e-05,19577278428_e8044e854b_o.jpg,0.5803921520709991,0.37197867035865784,0.35162922739982605,0.2763921022415161,-0.5574948191642761,0.17024739583333334,web_Baalshamin_images
0.0007520053475935829,19577300988_4e4ff423a7_o.jpg,0.5294117629528046,0.394398033618927,0.35288503766059875,0.25271695852279663,-0.6677296161651611,0.07064672459893048,web_Baalshamin_images
0.00037042025862068964,19577310688_5d2e78386b_o.jpg,0.49803921580314636,0.34705716371536255,0.348472535610199,0.3044702708721161,-0.6041077375411987,0.05534976652298851,web_Baalshamin_images
0.00014467592592592592,19577313278_bf436a42f4_o.jpg,0.4627451002597809,0.3737536668777466,0.35430029034614563,0.2719460427761078,-0.7152268886566162,0.015066964285714286,web_Baalshamin_images
0.00027011303191489363,19578696189_92b41b9b79_o.jpg,0.6313725560903549,0.40034958720207214,0.3486813008785248,0.25096914172172546,-0.7360509634017944,0.13520196143617022,web_Baalshamin_images
0.0003083881578947368,19739156806_e4f69d8792_o.jpg,0.4627451002597809,0.3699069917201996,0.35435211658477783,0.2757408916950226,-0.7435014247894287,0.022183388157894737,web_Baalshamin_images
0.001184341755319149,19758050972_3e8ee37d98_o.jpg,0.5803921520709991,0.37258967757225037,0.34838324785232544,0.2790270745754242,-0.7022128701210022,0.09393700132978723,web_Baalshamin_images
0.0006808035714285715,19758057422_3b2d8bf005_o.jpg,0.592156857252121,0.3680267035961151,0.3460903465747833,0.28588294982910156,-0.5759162902832031,0.1365625,web_Baalshamin_images
0.0011786099137931034,19765295615_6a8758cc07_o.jpg,0.6588235348463058,0.33925583958625793,0.3423042297363281,0.31843993067741394,-0.6095787882804871,0.22816765445402298,web_Baalshamin_images
0.001294578530259366,19770021361_0a7ef660e2_o.jpg,0.6274509727954865,0.3097124993801117,0.33972984552383423,0.35055768489837646,-0.6047535538673401,0.1580173811239193,web_Baalshamin_images
0.00041335978835978834,19770034361_ab8a99f3a9_o.jpg,0.43529412150382996,0.37586894631385803,0.35432127118110657,0.2698098123073578,-0.631441056728363,0.03616898148148148,web_Baalshamin_images
0.0011421783625730994,2015-10-15_19.12.50.png,0.32039216756820676,0.2489183247089386,0.34038981795310974,0.4106461703777313,-0.6126909852027893,2.2843567251461987e-05,web_Baalshamin_images
0.0,5748.jpg,0.363529419898987,0.3126562237739563,0.32605767250061035,0.36128610372543335,-0.6496142148971558,0.0002263066750629723,web_Baalshamin_images
0.001065340909090909,8100208.jpg,0.5282352924346924,0.3843728005886078,0.35367289185523987,0.26195433735847473,-0.6617056131362915,0.09508689839572193,web_Baalshamin_images
0.0,CIMG2282.jpg,0.27450981736183167,0.2875668406486511,0.33739224076271057,0.3750408887863159,-0.844917356967926,0.0,web_Baalshamin_images
0.0,DSC01926.jpg,0.34117645025253296,0.2658750116825104,0.341121643781662,0.39300334453582764,-0.40307262539863586,0.0015462239583333333,web_Baalshamin_images
0.0,DSCF4498.JPG,0.16470590233802795,0.32857102155685425,0.3329755961894989,0.33845341205596924,-0.6048200130462646,0.0,web_Baalshamin_images
